Airline,AirportFrom,AirportTo,total_flights,delayed_flights,delay_rate
9E,CVG,EWR,13,6,0.46153846153846156
9E,CVG,FWA,31,13,0.41935483870967744
9E,CVG,GRR,15,7,0.4666666666666667
9E,CVG,GSO,2,2,1.0
9E,CVG,GSP,31,10,0.3225806451612903
9E,CVG,IAD,31,9,0.2903225806451613
9E,CVG,JAX,14,6,0.42857142857142855
9E,CVG,MCI,30,12,0.4
9E,CVG,MEM,2,0,0.0
9E,CVG,MKE,41,17,0.4146341463414634
9E,CVG,MSP,28,11,0.39285714285714285
9E,CVG,MSY,1,1,1.0
9E,CVG,OMA,1,1,1.0
9E,CVG,ORF,27,9,0.3333333333333333
9E,CVG,PIT,12,6,0.5
9E,CVG,RDU,1,1,1.0
9E,CVG,RIC,17,7,0.4117647058823529
9E,CVG,SBN,44,11,0.25
9E,CVG,SDF,16,8,0.5
9E,CVG,SYR,14,7,0.5
9E,CVG,TYS,57,16,0.2807017543859649
9E,CVG,XNA,2,1,0.5
9E,DAB,ATL,12,6,0.5
9E,DAL,MEM,87,17,0.19540229885057472
9E,DAY,ATL,28,9,0.32142857142857145
9E,DAY,DTW,61,21,0.3442622950819672
9E,DAY,MSP,66,25,0.3787878787878788
9E,DCA,BDL,13,2,0.15384615384615385
9E,DCA,BOS,3,1,0.3333333333333333
9E,DCA,CMH,1,0,0.0
9E,DCA,CVG,15,10,0.6666666666666666
9E,DCA,IND,21,2,0.09523809523809523
9E,DCA,JAX,13,6,0.46153846153846156
9E,DCA,JFK,30,12,0.4
9E,DCA,STL,10,6,0.6
9E,DFW,MEM,31,15,0.4838709677419355
9E,DLH,DTW,57,22,0.38596491228070173
9E,DLH,MSP,49,14,0.2857142857142857
9E,DSM,ATL,18,9,0.5
9E,DSM,DTW,59,29,0.4915254237288136
9E,DSM,MEM,74,35,0.47297297297297297
9E,DSM,MSP,46,27,0.5869565217391305
9E,DTW,ABE,85,43,0.5058823529411764
9E,DTW,ALB,90,53,0.5888888888888889
9E,DTW,ATW,43,20,0.46511627906976744
9E,DTW,AVP,84,43,0.5119047619047619
9E,DTW,AZO,73,37,0.5068493150684932
9E,DTW,BDL,57,30,0.5263157894736842
9E,DTW,BGM,74,25,0.33783783783783783
9E,DTW,BGR,30,13,0.43333333333333335
9E,DTW,BHM,71,35,0.49295774647887325
9E,DTW,BMI,31,13,0.41935483870967744
9E,DTW,BNA,36,20,0.5555555555555556
9E,DTW,BTV,61,34,0.5573770491803278
9E,DTW,BUF,138,66,0.4782608695652174
9E,DTW,CAE,14,8,0.5714285714285714
9E,DTW,CAK,37,20,0.5405405405405406
9E,DTW,CHS,18,8,0.4444444444444444
9E,DTW,CID,62,27,0.43548387096774194
9E,DTW,CLE,53,31,0.5849056603773585
9E,DTW,CMH,98,60,0.6122448979591837
9E,DTW,CRW,24,10,0.4166666666666667
9E,DTW,CVG,43,26,0.6046511627906976
9E,DTW,DAY,63,24,0.38095238095238093
9E,DTW,DLH,57,23,0.40350877192982454
9E,DTW,DSM,44,19,0.4318181818181818
9E,DTW,ELM,73,35,0.4794520547945205
9E,DTW,ERI,74,38,0.5135135135135135
9E,DTW,EVV,53,17,0.32075471698113206
9E,DTW,EWR,33,15,0.45454545454545453
9E,DTW,FNT,89,49,0.550561797752809
9E,DTW,FSD,29,16,0.5517241379310345
9E,DTW,FWA,113,55,0.48672566371681414
9E,DTW,GRB,100,55,0.55
9E,DTW,GRR,29,11,0.3793103448275862
9E,DTW,GSO,1,0,0.0
9E,DTW,GSP,75,34,0.4533333333333333
9E,DTW,IAD,32,18,0.5625
9E,DTW,IND,87,47,0.5402298850574713
9E,DTW,ITH,75,31,0.41333333333333333
9E,DTW,JFK,3,3,1.0
9E,DTW,LAN,125,70,0.56
9E,DTW,LEX,31,18,0.5806451612903226
9E,DTW,LIT,16,8,0.5
9E,DTW,LSE,32,8,0.25
9E,DTW,MBS,174,73,0.41954022988505746
9E,DTW,MCI,2,1,0.5
9E,DTW,MDT,42,13,0.30952380952380953
9E,DTW,MDW,171,81,0.47368421052631576
9E,DTW,MHT,15,7,0.4666666666666667
9E,DTW,MKE,2,0,0.0
9E,DTW,MLI,53,25,0.4716981132075472
9E,DTW,MQT,4,1,0.25
9E,DTW,MSN,51,28,0.5490196078431373
9E,DTW,OMA,29,13,0.4482758620689655
9E,DTW,ORD,1,1,1.0
9E,DTW,ORF,72,39,0.5416666666666666
9E,DTW,PHL,24,8,0.3333333333333333
9E,DTW,PIA,56,27,0.48214285714285715
9E,DTW,PIT,76,45,0.5921052631578947
9E,DTW,PLN,32,15,0.46875
9E,DTW,PVD,80,38,0.475
9E,DTW,PWM,77,38,0.4935064935064935
9E,DTW,RDU,25,10,0.4
9E,DTW,RIC,66,30,0.45454545454545453
9E,DTW,ROA,31,12,0.3870967741935484
9E,DTW,ROC,80,28,0.35
9E,DTW,RST,40,15,0.375
9E,DTW,SAV,40,16,0.4
9E,DTW,SBN,141,66,0.46808510638297873
9E,DTW,SCE,87,47,0.5402298850574713
9E,DTW,SDF,1,0,0.0
9E,DTW,STL,1,1,1.0
9E,DTW,SWF,88,41,0.4659090909090909
9E,DTW,SYR,61,25,0.4098360655737705
9E,DTW,TRI,14,4,0.2857142857142857
9E,DTW,TVC,113,57,0.504424778761062
9E,DTW,TYS,60,29,0.48333333333333334
9E,ECP,ATL,2,0,0.0
9E,ECP,MEM,35,7,0.2
9E,ELM,DTW,74,29,0.3918918918918919
9E,ERI,DTW,74,28,0.3783783783783784
9E,EVV,DTW,54,17,0.3148148148148148
9E,EWR,ATL,3,1,0.3333333333333333
9E,EWR,DTW,46,23,0.5
9E,FAR,MSP,17,5,0.29411764705882354
9E,FNT,DTW,89,30,0.33707865168539325
9E,FNT,MSP,41,18,0.43902439024390244
9E,FSD,DTW,29,11,0.3793103448275862
9E,FSD,MSP,88,47,0.5340909090909091
9E,FSM,MEM,87,9,0.10344827586206896
9E,FWA,ATL,60,25,0.4166666666666667
9E,FWA,CVG,32,9,0.28125
9E,FWA,DTW,113,33,0.2920353982300885
9E,GFK,MSP,76,28,0.3684210526315789
9E,GPT,MEM,55,15,0.2727272727272727
9E,GRB,DTW,98,32,0.32653061224489793
9E,GRB,MSP,87,33,0.3793103448275862
9E,GRR,CVG,13,4,0.3076923076923077
9E,GRR,DTW,29,6,0.20689655172413793
9E,GRR,MEM,41,20,0.4878048780487805
9E,GRR,MSP,45,16,0.35555555555555557
9E,GSO,ATL,3,2,0.6666666666666666
9E,GSO,CVG,2,1,0.5
9E,GSO,DTW,1,1,1.0
9E,GSP,ATL,82,25,0.3048780487804878
9E,GSP,CVG,31,11,0.3548387096774194
9E,GSP,DTW,90,40,0.4444444444444444
9E,GTR,MEM,31,2,0.06451612903225806
9E,HOU,ATL,90,33,0.36666666666666664
9E,HPN,ATL,58,28,0.4827586206896552
9E,HSV,ATL,27,5,0.18518518518518517
9E,IAD,ATL,31,18,0.5806451612903226
9E,IAD,CVG,2,1,0.5
9E,IAD,DTW,61,27,0.4426229508196721
9E,IAH,ATL,68,23,0.3382352941176471
9E,IAH,MEM,57,10,0.17543859649122806
9E,ICT,ATL,34,12,0.35294117647058826
9E,ICT,MEM,42,9,0.21428571428571427
9E,ICT,MSP,54,14,0.25925925925925924
9E,IND,ATL,3,1,0.3333333333333333
9E,IND,DCA,21,1,0.047619047619047616
9E,IND,DTW,96,28,0.2916666666666667
9E,IND,JFK,31,7,0.22580645161290322
9E,IND,MEM,77,16,0.2077922077922078
9E,IND,MSP,4,3,0.75
9E,IND,RDU,24,12,0.5
9E,ITH,DTW,75,36,0.48
9E,JAN,MEM,1,0,0.0
9E,JAX,CVG,14,3,0.21428571428571427
9E,JAX,DCA,12,5,0.4166666666666667
9E,JAX,MEM,90,23,0.25555555555555554
9E,JFK,ALB,31,11,0.3548387096774194
9E,JFK,BDL,14,3,0.21428571428571427
9E,JFK,BOS,27,11,0.4074074074074074
9E,JFK,BTV,57,22,0.38596491228070173
9E,JFK,BUF,38,13,0.34210526315789475
9E,JFK,CLE,34,20,0.5882352941176471
9E,JFK,CLT,25,11,0.44
9E,JFK,CMH,1,0,0.0
9E,JFK,DCA,28,15,0.5357142857142857
9E,JFK,DTW,2,1,0.5
9E,JFK,IND,31,15,0.4838709677419355
9E,JFK,LWB,31,13,0.41935483870967744
9E,JFK,ORD,30,15,0.5
9E,JFK,ORF,32,14,0.4375
9E,JFK,PIT,56,26,0.4642857142857143
9E,JFK,RDU,34,19,0.5588235294117647
9E,JFK,RIC,30,14,0.4666666666666667
9E,JFK,ROC,17,6,0.35294117647058826
9E,JFK,SYR,30,12,0.4
9E,LAN,DTW,126,30,0.23809523809523808
9E,LAN,MSP,29,6,0.20689655172413793
9E,LBB,MEM,87,31,0.3563218390804598
9E,LEX,ATL,1,1,1.0
9E,LEX,DTW,32,18,0.5625
9E,LEX,MEM,42,13,0.30952380952380953
9E,LFT,MEM,2,0,0.0
9E,LGA,BGR,2,1,0.5
9E,LGA,CHS,16,8,0.5
9E,LGA,PWM,12,7,0.5833333333333334
9E,LGA,SAV,29,5,0.1724137931034483
9E,LGA,TYS,27,10,0.37037037037037035
9E,LIT,ATL,14,5,0.35714285714285715
9E,LIT,DTW,16,7,0.4375
9E,LNK,MSP,31,7,0.22580645161290322
9E,LSE,DTW,14,6,0.42857142857142855
9E,LSE,MSP,65,22,0.3384615384615385
9E,LWB,JFK,31,8,0.25806451612903225
9E,MBS,DTW,175,51,0.2914285714285714
9E,MBS,MSP,32,3,0.09375
9E,MCI,DTW,2,1,0.5
9E,MCI,MEM,33,12,0.36363636363636365
9E,MCO,RDU,25,21,0.84
9E,MDT,DTW,42,17,0.40476190476190477
9E,MDW,DTW,171,79,0.4619883040935672
9E,MEM,AMA,57,11,0.19298245614035087
9E,MEM,ATL,51,25,0.49019607843137253
9E,MEM,AUS,47,23,0.48936170212765956
9E,MEM,BHM,89,24,0.2696629213483146
9E,MEM,BNA,42,15,0.35714285714285715
9E,MEM,CLE,57,14,0.24561403508771928
9E,MEM,CLT,15,2,0.13333333333333333
9E,MEM,CMH,31,7,0.22580645161290322
9E,MEM,COU,89,21,0.23595505617977527
9E,MEM,CVG,58,17,0.29310344827586204
9E,MEM,DAL,87,29,0.3333333333333333
9E,MEM,DFW,31,13,0.41935483870967744
9E,MEM,DSM,75,24,0.32
9E,MEM,ECP,34,10,0.29411764705882354
9E,MEM,FSM,87,22,0.25287356321839083
9E,MEM,GPT,56,14,0.25
9E,MEM,GRR,39,16,0.41025641025641024
9E,MEM,GTR,31,5,0.16129032258064516
9E,MEM,IAH,57,16,0.2807017543859649
9E,MEM,ICT,56,19,0.3392857142857143
9E,MEM,IND,50,17,0.34
9E,MEM,JAN,1,1,1.0
9E,MEM,JAX,90,25,0.2777777777777778
9E,MEM,LBB,87,31,0.3563218390804598
9E,MEM,LEX,44,12,0.2727272727272727
9E,MEM,LFT,2,1,0.5
9E,MEM,LIT,1,1,1.0
9E,MEM,MCI,2,0,0.0
9E,MEM,MKE,59,16,0.2711864406779661
9E,MEM,MLI,31,10,0.3225806451612903
9E,MEM,MLU,30,9,0.3
9E,MEM,MOB,3,1,0.3333333333333333
9E,MEM,MSN,30,10,0.3333333333333333
9E,MEM,MSP,1,0,0.0
9E,MEM,OKC,33,18,0.5454545454545454
9E,MEM,OMA,13,4,0.3076923076923077
9E,MEM,ORD,33,16,0.48484848484848486
9E,MEM,PIT,87,29,0.3333333333333333
9E,MEM,PNS,89,28,0.3146067415730337
9E,MEM,RDU,27,10,0.37037037037037035
9E,MEM,SAT,77,22,0.2857142857142857
9E,MEM,SGF,55,20,0.36363636363636365
9E,MEM,STL,40,10,0.25
9E,MEM,TLH,2,0,0.0
9E,MEM,TUL,89,32,0.3595505617977528
9E,MEM,TYS,62,18,0.2903225806451613
9E,MEM,VPS,15,2,0.13333333333333333
9E,MEM,XNA,1,0,0.0
9E,MHT,DTW,14,10,0.7142857142857143
9E,MIA,RDU,4,3,0.75
9E,MKE,ATL,2,0,0.0
9E,MKE,CVG,41,7,0.17073170731707318
9E,MKE,DTW,2,1,0.5
9E,MKE,MEM,59,21,0.3559322033898305
9E,MLI,DTW,66,24,0.36363636363636365
9E,MLI,MEM,31,6,0.1935483870967742
9E,MLU,ATL,28,11,0.39285714285714285
9E,MLU,MEM,1,0,0.0
9E,MOB,MEM,3,1,0.3333333333333333
9E,MOT,MSP,29,19,0.6551724137931034
9E,MQT,DTW,4,1,0.25
9E,MQT,MSP,17,5,0.29411764705882354
9E,MSN,DTW,51,14,0.27450980392156865
9E,MSN,MEM,30,8,0.26666666666666666
9E,MSN,MSP,27,16,0.5925925925925926
9E,MSP,ABR,2,1,0.5
9E,MSP,ATW,31,15,0.4838709677419355
9E,MSP,AZO,31,7,0.22580645161290322
9E,MSP,BIS,45,17,0.37777777777777777
9E,MSP,BMI,31,10,0.3225806451612903
9E,MSP,BNA,53,26,0.49056603773584906
9E,MSP,BUF,14,7,0.5
9E,MSP,CID,14,6,0.42857142857142855
9E,MSP,CLE,46,16,0.34782608695652173
9E,MSP,CMH,54,22,0.4074074074074074
9E,MSP,CVG,33,20,0.6060606060606061
9E,MSP,DAY,65,25,0.38461538461538464
9E,MSP,DLH,47,18,0.3829787234042553
9E,MSP,DSM,59,16,0.2711864406779661
9E,MSP,FAR,17,2,0.11764705882352941
9E,MSP,FNT,41,15,0.36585365853658536
9E,MSP,FSD,88,32,0.36363636363636365
9E,MSP,GFK,77,36,0.4675324675324675
9E,MSP,GRB,85,42,0.49411764705882355
9E,MSP,GRR,45,21,0.4666666666666667
9E,MSP,ICT,41,14,0.34146341463414637
9E,MSP,IND,64,33,0.515625
9E,MSP,LAN,29,8,0.27586206896551724
9E,MSP,LNK,30,13,0.43333333333333335
9E,MSP,LSE,47,13,0.2765957446808511
9E,MSP,MBS,31,11,0.3548387096774194
9E,MSP,MCI,2,0,0.0
9E,MSP,MEM,2,0,0.0
9E,MSP,MLI,14,4,0.2857142857142857
9E,MSP,MOT,29,16,0.5517241379310345
9E,MSP,MQT,17,0,0.0
9E,MSP,MSN,27,14,0.5185185185185185
9E,MSP,OKC,15,5,0.3333333333333333
9E,MSP,OMA,21,13,0.6190476190476191
9E,MSP,PIT,26,12,0.46153846153846156
9E,MSP,RST,36,13,0.3611111111111111
9E,MSP,SBN,31,10,0.3225806451612903
9E,MSP,SDF,15,9,0.6
9E,MSP,TUL,43,12,0.27906976744186046
9E,MSP,TVC,17,4,0.23529411764705882
9E,MSP,XNA,26,6,0.23076923076923078
9E,MSY,ATL,2,0,0.0
9E,MSY,CVG,1,1,1.0
9E,OKC,ATL,67,37,0.5522388059701493
9E,OKC,MEM,19,9,0.47368421052631576
9E,OKC,MSP,28,7,0.25
9E,OMA,CVG,1,0,0.0
9E,OMA,DTW,28,10,0.35714285714285715
9E,OMA,MEM,13,6,0.46153846153846156
9E,OMA,MSP,22,9,0.4090909090909091
9E,ORD,ATL,18,12,0.6666666666666666
9E,ORD,CVG,1,0,0.0
9E,ORD,DTW,1,1,1.0
9E,ORD,MEM,61,30,0.4918032786885246
9E,ORD,MSP,1,0,0.0
9E,ORF,CVG,2,1,0.5
9E,ORF,DTW,84,41,0.4880952380952381
9E,ORF,JFK,45,22,0.4888888888888889
9E,PHF,ATL,47,22,0.46808510638297873
9E,PHL,CVG,12,5,0.4166666666666667
9E,PHL,DTW,12,6,0.5
9E,PIA,DTW,56,27,0.48214285714285715
9E,PIA,MSP,1,0,0.0
9E,PIT,CVG,25,12,0.48
9E,PIT,DTW,42,29,0.6904761904761905
9E,PIT,JFK,55,15,0.2727272727272727
9E,PIT,MEM,87,40,0.45977011494252873
9E,PIT,MSP,48,32,0.6666666666666666
9E,PLN,DTW,32,10,0.3125
9E,PNS,ATL,14,5,0.35714285714285715
9E,PNS,MEM,89,28,0.3146067415730337
9E,PVD,DTW,80,24,0.3
9E,PWM,DTW,77,27,0.35064935064935066
9E,PWM,LGA,11,3,0.2727272727272727
9E,RDU,BDL,36,21,0.5833333333333334
9E,RDU,BOS,38,19,0.5
9E,RDU,CMH,16,11,0.6875
9E,RDU,CVG,26,10,0.38461538461538464
9E,RDU,DTW,25,8,0.32
9E,RDU,JFK,33,9,0.2727272727272727
9E,RDU,MCO,25,18,0.72
9E,RDU,MEM,27,20,0.7407407407407407
9E,RDU,MIA,4,1,0.25
9E,RDU,RSW,4,2,0.5
9E,RDU,STL,25,7,0.28
9E,RDU,TPA,62,34,0.5483870967741935
9E,RIC,CVG,17,8,0.47058823529411764
9E,RIC,DTW,66,32,0.48484848484848486
9E,RIC,JFK,29,8,0.27586206896551724
9E,ROA,DTW,31,11,0.3548387096774194
9E,ROC,ATL,89,50,0.5617977528089888
9E,ROC,DTW,97,35,0.36082474226804123
9E,RST,DTW,16,1,0.0625
9E,RST,MSP,61,25,0.4098360655737705
9E,RSW,RDU,4,2,0.5
9E,SAT,MEM,78,26,0.3333333333333333
9E,SAV,ATL,29,16,0.5517241379310345
9E,SAV,DTW,39,18,0.46153846153846156
9E,SAV,LGA,30,9,0.3
9E,SBN,ATL,56,37,0.6607142857142857
9E,SBN,CVG,59,27,0.4576271186440678
9E,SBN,DTW,112,54,0.48214285714285715
9E,SBN,MSP,31,14,0.45161290322580644
9E,SCE,DTW,87,35,0.40229885057471265
9E,SDF,ATL,22,14,0.6363636363636364
9E,SDF,CVG,1,0,0.0
9E,SDF,DTW,15,4,0.26666666666666666
9E,SDF,MSP,15,8,0.5333333333333333
9E,SGF,MEM,84,13,0.15476190476190477
9E,STL,ATL,4,1,0.25
9E,STL,CVG,12,4,0.3333333333333333
9E,STL,DCA,10,4,0.4
9E,STL,DTW,1,1,1.0
9E,STL,MEM,28,9,0.32142857142857145
9E,STL,RDU,25,12,0.48
9E,SWF,DTW,88,36,0.4090909090909091
9E,SYR,ATL,15,10,0.6666666666666666
9E,SYR,CVG,14,3,0.21428571428571427
9E,SYR,DTW,61,41,0.6721311475409836
9E,SYR,JFK,30,11,0.36666666666666664
9E,TLH,ATL,32,8,0.25
9E,TLH,MEM,2,1,0.5
9E,TPA,RDU,62,33,0.532258064516129
9E,TRI,DTW,13,2,0.15384615384615385
9E,TUL,ATL,18,9,0.5
9E,TUL,MEM,88,14,0.1590909090909091
9E,TUL,MSP,44,14,0.3181818181818182
9E,TVC,DTW,114,40,0.3508771929824561
9E,TVC,MSP,17,5,0.29411764705882354
9E,TYS,ATL,44,12,0.2727272727272727
9E,TYS,CVG,30,4,0.13333333333333333
9E,TYS,DTW,61,17,0.2786885245901639
9E,TYS,LGA,28,4,0.14285714285714285
9E,TYS,MEM,88,35,0.3977272727272727
9E,VPS,MEM,15,5,0.3333333333333333
9E,XNA,ATL,1,0,0.0
9E,XNA,CVG,2,1,0.5
9E,XNA,DTW,15,6,0.4
9E,XNA,MSP,12,4,0.3333333333333333
AA,ABQ,DFW,243,29,0.11934156378600823
AA,ATL,DFW,321,73,0.22741433021806853
AA,ATL,MIA,124,28,0.22580645161290322
AA,AUS,DFW,451,92,0.2039911308203991
AA,AUS,JFK,30,3,0.1
AA,AUS,LAX,88,24,0.2727272727272727
AA,AUS,ORD,90,15,0.16666666666666666
AA,BDL,DFW,92,42,0.45652173913043476
AA,BDL,MIA,62,20,0.3225806451612903
AA,BDL,SJU,31,9,0.2903225806451613
AA,BHM,DFW,90,11,0.12222222222222222
AA,BNA,DFW,239,47,0.19665271966527198
AA,BNA,LAX,30,7,0.23333333333333334
AA,BNA,LGA,56,10,0.17857142857142858
AA,BNA,MIA,31,7,0.22580645161290322
AA,BOS,DFW,230,77,0.3347826086956522
AA,BOS,LAX,93,35,0.3763440860215054
AA,BOS,MIA,217,86,0.39631336405529954
AA,BOS,ORD,235,69,0.2936170212765957
AA,BOS,SJU,31,6,0.1935483870967742
AA,BOS,STT,14,6,0.42857142857142855
AA,BUR,DFW,117,28,0.23931623931623933
AA,BWI,DFW,180,65,0.3611111111111111
AA,BWI,MIA,62,29,0.46774193548387094
AA,BWI,SJU,31,11,0.3548387096774194
AA,CLT,DFW,195,50,0.2564102564102564
AA,CMH,DFW,72,36,0.5
AA,COS,DFW,153,28,0.1830065359477124
AA,DAY,DFW,57,13,0.22807017543859648
AA,DCA,DFW,324,105,0.32407407407407407
AA,DCA,MIA,279,133,0.4767025089605735
AA,DCA,ORD,177,57,0.3220338983050847
AA,DCA,STL,111,24,0.21621621621621623
AA,DEN,DFW,306,96,0.3137254901960784
AA,DEN,MIA,62,29,0.46774193548387094
AA,DEN,ORD,61,24,0.39344262295081966
AA,DFW,ABQ,243,97,0.3991769547325103
AA,DFW,ATL,321,119,0.3707165109034268
AA,DFW,AUS,450,182,0.40444444444444444
AA,DFW,BDL,92,42,0.45652173913043476
AA,DFW,BHM,90,24,0.26666666666666666
AA,DFW,BNA,239,89,0.3723849372384937
AA,DFW,BOS,230,99,0.43043478260869567
AA,DFW,BUR,117,42,0.358974358974359
AA,DFW,BWI,180,64,0.35555555555555557
AA,DFW,CLT,195,59,0.30256410256410254
AA,DFW,CMH,72,26,0.3611111111111111
AA,DFW,COS,153,60,0.39215686274509803
AA,DFW,DAY,57,21,0.3684210526315789
AA,DFW,DCA,324,117,0.3611111111111111
AA,DFW,DEN,306,107,0.34967320261437906
AA,DFW,DTW,149,54,0.3624161073825503
AA,DFW,EGE,52,24,0.46153846153846156
AA,DFW,ELP,238,96,0.40336134453781514
AA,DFW,EWR,171,88,0.5146198830409356
AA,DFW,FAT,61,31,0.5081967213114754
AA,DFW,FLL,185,97,0.5243243243243243
AA,DFW,HDN,18,10,0.5555555555555556
AA,DFW,HNL,62,40,0.6451612903225806
AA,DFW,HSV,87,30,0.3448275862068966
AA,DFW,IAD,171,53,0.30994152046783624
AA,DFW,IAH,180,78,0.43333333333333335
AA,DFW,ICT,118,42,0.3559322033898305
AA,DFW,IND,153,51,0.3333333333333333
AA,DFW,JAC,11,8,0.7272727272727273
AA,DFW,JAX,118,42,0.3559322033898305
AA,DFW,JFK,31,21,0.6774193548387096
AA,DFW,LAS,328,133,0.4054878048780488
AA,DFW,LAX,482,273,0.5663900414937759
AA,DFW,LGA,429,191,0.44522144522144524
AA,DFW,MCI,239,83,0.3472803347280335
AA,DFW,MCO,307,133,0.43322475570032576
AA,DFW,MEM,118,42,0.3559322033898305
AA,DFW,MFE,117,33,0.28205128205128205
AA,DFW,MIA,308,200,0.6493506493506493
AA,DFW,MSP,178,68,0.38202247191011235
AA,DFW,MSY,180,53,0.29444444444444445
AA,DFW,MTJ,4,0,0.0
AA,DFW,OGG,31,19,0.6129032258064516
AA,DFW,OKC,213,69,0.323943661971831
