AirportFrom,AirportTo,total_flights,delayed_flights,delay_rate
BHM,SDF,39,32,0.8205128205128205
BHM,STL,31,20,0.6451612903225806
BHM,TPA,63,39,0.6190476190476191
BIL,DEN,132,38,0.2878787878787879
BIL,MSP,28,14,0.5
BIL,SLC,146,29,0.19863013698630136
BIS,DEN,119,52,0.4369747899159664
BIS,MSP,143,72,0.5034965034965035
BIS,ORD,31,11,0.3548387096774194
BIS,SLC,31,9,0.2903225806451613
BKG,ATL,54,13,0.24074074074074073
BKG,DEN,2,0,0.0
BKG,MCO,4,0,0.0
BLI,LAS,26,9,0.34615384615384615
BMI,ATL,233,113,0.48497854077253216
BMI,DFW,31,10,0.3225806451612903
BMI,DTW,31,12,0.3870967741935484
BMI,MCO,17,8,0.47058823529411764
BMI,MSP,31,13,0.41935483870967744
BMI,ORD,62,17,0.27419354838709675
BNA,ATL,277,131,0.4729241877256318
BNA,AUS,56,35,0.625
BNA,BDL,31,26,0.8387096774193549
BNA,BHM,60,53,0.8833333333333333
BNA,BWI,187,134,0.7165775401069518
BNA,CLE,62,46,0.7419354838709677
BNA,CLT,173,38,0.21965317919075145
BNA,CMH,56,40,0.7142857142857143
BNA,CVG,48,13,0.2708333333333333
BNA,DCA,143,15,0.1048951048951049
BNA,DEN,128,85,0.6640625
BNA,DFW,239,47,0.19665271966527198
BNA,DTW,178,91,0.5112359550561798
BNA,ECP,62,37,0.5967741935483871
BNA,EWR,162,62,0.38271604938271603
BNA,FLL,62,43,0.6935483870967742
BNA,HOU,118,91,0.7711864406779662
BNA,IAD,30,11,0.36666666666666664
BNA,IAH,200,62,0.31
BNA,JAX,87,60,0.6896551724137931
BNA,LAS,84,63,0.75
BNA,LAX,91,61,0.6703296703296703
BNA,LGA,137,45,0.3284671532846715
BNA,MCI,87,68,0.7816091954022989
BNA,MCO,124,89,0.717741935483871
BNA,MDW,201,132,0.6567164179104478
BNA,MEM,88,25,0.2840909090909091
BNA,MIA,93,36,0.3870967741935484
BNA,MSP,101,44,0.43564356435643564
BNA,MSY,88,65,0.7386363636363636
BNA,ORD,334,115,0.344311377245509
BNA,ORF,31,24,0.7741935483870968
BNA,PHL,61,41,0.6721311475409836
BNA,PHX,62,51,0.8225806451612904
BNA,RDU,119,88,0.7394957983193278
BNA,SAN,31,29,0.9354838709677419
BNA,SAT,56,45,0.8035714285714286
BNA,SLC,31,14,0.45161290322580644
BNA,STL,56,35,0.625
BNA,TPA,119,95,0.7983193277310925
BOI,DEN,225,104,0.4622222222222222
BOI,GEG,87,51,0.5862068965517241
BOI,LAS,62,49,0.7903225806451613
BOI,LAX,54,28,0.5185185185185185
BOI,MSP,12,4,0.3333333333333333
BOI,OAK,62,36,0.5806451612903226
BOI,ORD,60,29,0.48333333333333334
BOI,PDX,56,44,0.7857142857142857
BOI,PHX,62,28,0.45161290322580644
BOI,RNO,56,31,0.5535714285714286
BOI,SEA,58,39,0.6724137931034483
BOI,SFO,124,60,0.4838709677419355
BOI,SLC,290,118,0.4068965517241379
BOS,ATL,448,192,0.42857142857142855
BOS,AUS,31,17,0.5483870967741935
BOS,BUF,70,41,0.5857142857142857
BOS,BWI,591,223,0.377326565143824
BOS,CAK,31,16,0.5161290322580645
BOS,CLE,85,37,0.43529411764705883
BOS,CLT,353,129,0.3654390934844193
BOS,CVG,102,43,0.4215686274509804
BOS,DCA,785,225,0.28662420382165604
BOS,DEN,235,107,0.4553191489361702
BOS,DFW,230,77,0.3347826086956522
BOS,DTW,201,100,0.4975124378109453
BOS,EWR,197,97,0.49238578680203043
BOS,FLL,170,103,0.6058823529411764
BOS,IAD,348,122,0.3505747126436782
BOS,IAH,156,102,0.6538461538461539
BOS,JAX,31,20,0.6451612903225806
BOS,JFK,548,196,0.35766423357664234
BOS,LAS,52,21,0.40384615384615385
BOS,LAX,206,89,0.4320388349514563
BOS,LGA,795,160,0.20125786163522014
BOS,LGB,23,18,0.782608695652174
BOS,MCO,294,132,0.4489795918367347
BOS,MDW,145,64,0.4413793103448276
BOS,MEM,47,20,0.425531914893617
BOS,MIA,217,86,0.39631336405529954
BOS,MKE,145,50,0.3448275862068966
BOS,MSP,145,85,0.5862068965517241
BOS,MSY,31,15,0.4838709677419355
BOS,ORD,508,165,0.3248031496062992
BOS,PBI,157,93,0.5923566878980892
BOS,PDX,31,15,0.4838709677419355
BOS,PHF,31,10,0.3225806451612903
BOS,PHL,567,175,0.30864197530864196
BOS,PHX,163,80,0.49079754601226994
BOS,PIT,74,37,0.5
BOS,RDU,238,78,0.3277310924369748
BOS,RIC,60,27,0.45
BOS,RSW,172,74,0.43023255813953487
BOS,SAN,45,26,0.5777777777777777
BOS,SEA,60,29,0.48333333333333334
BOS,SFO,226,115,0.5088495575221239
BOS,SJC,26,12,0.46153846153846156
BOS,SJU,93,45,0.4838709677419355
BOS,SLC,56,29,0.5178571428571429
BOS,SRQ,35,18,0.5142857142857142
BOS,STL,62,40,0.6451612903225806
BOS,STT,14,6,0.42857142857142855
BOS,TPA,109,61,0.5596330275229358
BQK,ATL,87,22,0.25287356321839083
BQN,EWR,28,13,0.4642857142857143
BQN,JFK,78,32,0.41025641025641024
BQN,MCO,31,13,0.41935483870967744
BRO,DFW,62,19,0.3064516129032258
BRO,IAH,145,30,0.20689655172413793
BRW,ANC,38,14,0.3684210526315789
BRW,FAI,30,23,0.7666666666666667
BTM,SLC,60,21,0.35
BTR,ATL,223,80,0.35874439461883406
BTR,DFW,244,62,0.2540983606557377
BTR,IAH,214,36,0.16822429906542055
BTR,MEM,57,21,0.3684210526315789
BTV,CLE,44,28,0.6363636363636364
BTV,DTW,73,42,0.5753424657534246
BTV,EWR,75,28,0.37333333333333335
BTV,IAD,64,22,0.34375
BTV,JFK,167,61,0.3652694610778443
BTV,MCO,26,3,0.11538461538461539
BTV,ORD,74,31,0.4189189189189189
BUF,ATL,243,103,0.42386831275720166
BUF,BOS,70,23,0.32857142857142857
BUF,BWI,175,139,0.7942857142857143
BUF,CLE,5,1,0.2
BUF,CLT,114,36,0.3157894736842105
BUF,DTW,153,66,0.43137254901960786
BUF,EWR,15,6,0.4
BUF,FLL,57,31,0.543859649122807
BUF,IAD,57,25,0.43859649122807015
BUF,JFK,328,106,0.3231707317073171
BUF,LAS,31,26,0.8387096774193549
BUF,MCO,129,72,0.5581395348837209
BUF,MDW,118,96,0.8135593220338984
BUF,MSP,14,5,0.35714285714285715
BUF,ORD,258,99,0.38372093023255816
BUF,PHL,52,12,0.23076923076923078
BUF,PHX,31,24,0.7741935483870968
BUF,RSW,26,4,0.15384615384615385
BUF,TPA,62,51,0.8225806451612904
BUR,DEN,62,27,0.43548387096774194
BUR,DFW,117,28,0.23931623931623933
BUR,JFK,74,30,0.40540540540540543
BUR,LAS,358,246,0.6871508379888268
BUR,OAK,375,218,0.5813333333333334
BUR,PHX,358,177,0.49441340782122906
BUR,SEA,91,34,0.37362637362637363
BUR,SFO,172,97,0.563953488372093
BUR,SJC,227,140,0.6167400881057269
BUR,SLC,90,33,0.36666666666666664
BUR,SMF,223,139,0.6233183856502242
BWI,ABQ,39,34,0.8717948717948718
BWI,ALB,144,106,0.7361111111111112
BWI,ATL,529,163,0.30812854442344045
BWI,AUS,70,58,0.8285714285714286
BWI,BDL,228,171,0.75
BWI,BHM,87,72,0.8275862068965517
BWI,BNA,187,138,0.7379679144385026
BWI,BOS,593,240,0.40472175379426645
BWI,BUF,176,145,0.8238636363636364
BWI,CLE,131,92,0.7022900763358778
BWI,CLT,308,128,0.4155844155844156
BWI,CMH,144,107,0.7430555555555556
BWI,CVG,45,19,0.4222222222222222
BWI,DAY,86,23,0.26744186046511625
BWI,DEN,237,120,0.5063291139240507
BWI,DFW,180,65,0.3611111111111111
BWI,DTW,256,155,0.60546875
BWI,ECP,62,44,0.7096774193548387
BWI,EWR,86,34,0.3953488372093023
BWI,FLL,222,133,0.5990990990990991
BWI,GRR,61,17,0.2786885245901639
BWI,HOU,88,71,0.8068181818181818
BWI,HSV,62,15,0.24193548387096775
BWI,IAH,141,77,0.5460992907801419
BWI,IND,144,79,0.5486111111111112
BWI,ISP,149,119,0.7986577181208053
BWI,JAN,39,30,0.7692307692307693
BWI,JAX,174,113,0.6494252873563219
BWI,JFK,32,22,0.6875
BWI,LAS,89,70,0.7865168539325843
BWI,LAX,62,32,0.5161290322580645
BWI,LGA,93,74,0.7956989247311828
BWI,LIT,31,25,0.8064516129032258
BWI,MCI,83,63,0.7590361445783133
BWI,MCO,377,195,0.5172413793103449
BWI,MDW,188,121,0.6436170212765957
BWI,MEM,48,18,0.375
BWI,MHT,215,158,0.7348837209302326
BWI,MIA,88,32,0.36363636363636365
BWI,MKE,149,75,0.5033557046979866
BWI,MSP,75,28,0.37333333333333335
BWI,MSY,89,58,0.651685393258427
BWI,OKC,31,25,0.8064516129032258
BWI,ORD,285,94,0.3298245614035088
BWI,ORF,115,90,0.782608695652174
BWI,PBI,96,70,0.7291666666666666
BWI,PHL,55,16,0.2909090909090909
BWI,PHX,159,113,0.710691823899371
BWI,PIT,84,70,0.8333333333333334
BWI,PVD,243,172,0.7078189300411523
BWI,PWM,62,15,0.24193548387096775
BWI,RDU,174,125,0.7183908045977011
BWI,ROC,62,14,0.22580645161290322
BWI,RSW,115,64,0.5565217391304348
BWI,SAN,61,50,0.819672131147541
BWI,SAT,70,56,0.8
BWI,SDF,88,61,0.6931818181818182
BWI,SFO,31,6,0.1935483870967742
BWI,SJU,58,25,0.43103448275862066
BWI,SLC,87,46,0.5287356321839081
BWI,SRQ,26,10,0.38461538461538464
BWI,STL,140,109,0.7785714285714286
BWI,TPA,236,140,0.5932203389830508
BZN,ATL,13,6,0.46153846153846156
BZN,DEN,135,38,0.2814814814814815
BZN,MSP,30,5,0.16666666666666666
BZN,ORD,20,10,0.5
BZN,SFO,16,6,0.375
BZN,SLC,145,32,0.2206896551724138
CAE,ATL,297,106,0.3569023569023569
CAE,DFW,91,28,0.3076923076923077
CAE,DTW,31,18,0.5806451612903226
CAE,IAD,120,41,0.3416666666666667
CAE,IAH,67,18,0.26865671641791045
CAE,ORD,77,32,0.4155844155844156
CAK,ATL,298,127,0.4261744966442953
CAK,BOS,31,16,0.5161290322580645
CAK,DEN,56,21,0.375
CAK,DTW,86,35,0.4069767441860465
CAK,LGA,61,19,0.3114754098360656
CAK,MCO,41,23,0.5609756097560976
CAK,MKE,54,25,0.46296296296296297
CAK,ORD,75,24,0.32
CAK,RSW,26,4,0.15384615384615385
CAK,TPA,31,4,0.12903225806451613
CDC,SLC,55,27,0.4909090909090909
CDV,ANC,29,4,0.13793103448275862
CDV,YAK,28,9,0.32142857142857145
CEC,ACV,27,10,0.37037037037037035
CEC,SFO,61,33,0.5409836065573771
CHA,ATL,243,67,0.2757201646090535
CHA,DFW,31,14,0.45161290322580644
CHA,DTW,31,6,0.1935483870967742
CHA,ORD,58,21,0.3620689655172414
CHO,ATL,87,21,0.2413793103448276
CHS,ATL,303,89,0.29372937293729373
CHS,CLT,147,48,0.32653061224489793
CHS,DFW,92,18,0.1956521739130435
CHS,DTW,53,18,0.33962264150943394
CHS,EWR,90,43,0.4777777777777778
CHS,IAD,61,16,0.26229508196721313
CHS,IAH,74,36,0.4864864864864865
CHS,LGA,32,5,0.15625
CHS,MIA,62,12,0.1935483870967742
CHS,ORD,93,30,0.3225806451612903
CIC,SFO,120,49,0.4083333333333333
CID,DEN,47,19,0.40425531914893614
CID,DFW,144,57,0.3958333333333333
CID,DTW,84,14,0.16666666666666666
CID,MSP,89,40,0.449438202247191
CID,ORD,113,36,0.3185840707964602
CLD,LAX,163,66,0.4049079754601227
CLE,ALB,103,41,0.39805825242718446
CLE,ATL,241,111,0.4605809128630705
CLE,BNA,61,34,0.5573770491803278
CLE,BOS,86,25,0.29069767441860467
CLE,BTV,45,23,0.5111111111111111
CLE,BUF,5,0,0.0
CLE,BWI,132,88,0.6666666666666666
CLE,CLT,195,49,0.2512820512820513
CLE,CMH,2,0,0.0
CLE,CVG,58,22,0.3793103448275862
CLE,DAY,55,13,0.23636363636363636
CLE,DCA,83,24,0.2891566265060241
CLE,DEN,101,58,0.5742574257425742
CLE,DFW,199,88,0.44221105527638194
CLE,DTW,128,35,0.2734375
CLE,EWR,174,68,0.39080459770114945
CLE,FLL,51,24,0.47058823529411764
CLE,GRB,52,25,0.4807692307692308
CLE,GRR,78,33,0.4230769230769231
CLE,GSP,29,11,0.3793103448275862
CLE,IAD,69,37,0.5362318840579711
CLE,IAH,186,75,0.4032258064516129
CLE,IND,32,9,0.28125
CLE,JAX,17,5,0.29411764705882354
CLE,JFK,76,31,0.40789473684210525
CLE,LAS,113,69,0.6106194690265486
CLE,LAX,88,57,0.6477272727272727
CLE,LGA,164,43,0.2621951219512195
CLE,MCI,105,35,0.3333333333333333
CLE,MCO,91,39,0.42857142857142855
CLE,MDW,178,116,0.651685393258427
CLE,MEM,83,32,0.3855421686746988
CLE,MHT,93,38,0.40860215053763443
CLE,MIA,89,29,0.3258426966292135
CLE,MKE,99,31,0.31313131313131315
CLE,MSN,25,10,0.4
CLE,MSP,183,55,0.3005464480874317
CLE,MSY,25,6,0.24
CLE,ORD,411,173,0.4209245742092457
CLE,ORF,56,20,0.35714285714285715
CLE,PBI,31,7,0.22580645161290322
CLE,PHL,52,20,0.38461538461538464
CLE,PHX,70,41,0.5857142857142857
CLE,PVD,57,28,0.49122807017543857
CLE,PWM,26,9,0.34615384615384615
CLE,RDU,11,1,0.09090909090909091
CLE,RIC,72,33,0.4583333333333333
CLE,ROC,75,33,0.44
CLE,RSW,46,14,0.30434782608695654
